日期,质量等级,AQI指数,当天AQI排名,PM2\.5,PM10,So2,No2,Co,O3
"
                                        2014-05-01","
                                       轻度污染","104
                                       ",91,72,140,25,57,0.86,77
"
                                        2014-05-02","
                                       轻度污染","110
                                       ",143,58,166,18,44,0.76,74
"
                                        2014-05-03","
                                       良","96
                                       ",138,54,138,20,28,0.66,91
"
                                        2014-05-04","
                                       良","77
                                       ",121,54,98,11,57,0.85,37
"
                                        2014-05-05","
                                       良","70
                                       ",102,41,79,21,38,0.68,74
"
                                        2014-05-06","
                                       良","69
                                       ",69,41,84,40,51,0.61,71
"
                                        2014-05-07","
                                       良","73
                                       ",65,42,92,17,46,0.70,83
"
                                        2014-05-08","
                                       轻度污染","107
                                       ",131,73,142,23,47,0.96,108
"
                                        2014-05-09","
                                       轻度污染","111
                                       ",155,81,140,42,52,0.86,81
"
                                        2014-05-10","
                                       良","64
                                       ",119,42,71,31,46,0.70,42
"
                                        2014-05-11","
                                       优","48
                                       ",66,28,46,17,41,0.94,27
"
                                        2014-05-12","
                                       良","79
                                       ",111,52,89,21,43,0.98,79
"
                                        2014-05-13","
                                       良","90
                                       ",117,65,119,30,70,1.01,53
"
                                        2014-05-14","
                                       良","64
                                       ",64,43,71,8,52,1.15,47
"
                                        2014-05-15","
                                       轻度污染","105
                                       ",159,71,139,18,39,1.02,103
"
                                        2014-05-16","
                                       轻度污染","125
                                       ",162,94,186,29,68,1.08,97
"
                                        2014-05-17","
                                       轻度污染","101
                                       ",121,75,85,7,46,0.93,57
"
                                        2014-05-18","
                                       良","51
                                       ",35,35,46,6,34,0.60,54
"
                                        2014-05-19","
                                       良","99
                                       ",124,73,117,15,52,0.72,39
"
                                        2014-05-20","
                                       良","94
                                       ",95,67,110,14,43,0.82,79
"
                                        2014-05-21","
                                       轻度污染","150
                                       ",159,111,192,29,64,1.08,103
"
                                        2014-05-22","
                                       良","81
                                       ",70,50,79,11,36,0.67,78
"
                                        2014-05-23","
                                       优","50
                                       ",42,20,45,19,31,0.48,73
"
                                        2014-05-24","
                                       良","51
                                       ",61,22,55,18,31,0.57,66
"
                                        2014-05-25","
                                       良","70
                                       ",74,47,79,9,40,0.90,37
"
                                        2014-05-26","
                                       轻度污染","102
                                       ",102,60,145,12,47,0.94,72
"
                                        2014-05-27","
                                       轻度污染","118
                                       ",110,77,185,14,44,0.87,84
"
                                        2014-05-28","
                                       轻度污染","140
                                       ",161,89,227,18,46,0.81,114
"
                                        2014-05-29","
                                       轻度污染","138
                                       ",144,98,217,18,58,0.96,81
