日期,质量等级,AQI指数,当天AQI排名,PM2\.5,PM10,So2,No2,Co,O3
"
                                        2014-03-10","
                                       优","49
                                       ",17,34,45,9,41,0.94,25
"
                                        2014-03-11","
                                       良","62
                                       ",22,44,62,13,51,1.09,22
"
                                        2014-03-12","
                                       中度污染","167
                                       ",179,127,179,17,89,2.61,25
"
                                        2014-03-13","
                                       良","67
                                       ",68,46,71,9,48,1.24,40
"
                                        2014-03-14","
                                       良","75
                                       ",50,54,76,10,44,0.91,66
"
                                        2014-03-15","
                                       良","87
                                       ",48,64,88,19,59,0.88,37
"
                                        2014-03-16","
                                       轻度污染","121
                                       ",125,90,133,24,70,1.17,26
"
                                        2014-03-17","
                                       中度污染","161
                                       ",139,122,183,28,88,1.70,31
"
                                        2014-03-18","
                                       轻度污染","101
                                       ",70,75,112,19,72,1.40,39
"
                                        2014-03-19","
                                       良","90
                                       ",84,67,100,18,68,1.20,46
"
                                        2014-03-20","
                                       轻度污染","103
                                       ",171,76,116,20,63,1.37,42
"
                                        2014-03-21","
                                       良","68
                                       ",73,49,67,10,29,0.74,65
"
                                        2014-03-22","
                                       良","74
                                       ",63,54,74,13,49,0.91,50
"
                                        2014-03-23","
                                       轻度污染","112
                                       ",130,84,122,30,80,1.11,77
"
                                        2014-03-25","
                                       良","84
                                       ",53,62,91,26,77,1.02,69
"
                                        2014-03-26","
                                       良","90
                                       ",55,67,92,28,70,1.04,68
"
                                        2014-03-27","
                                       良","68
                                       ",33,49,71,21,60,0.89,39
"
                                        2014-03-28","
                                       良","53
                                       ",24,36,51,15,47,0.79,19
"
                                        2014-03-29","
                                       良","61
                                       ",44,43,57,13,57,0.89,21
"
                                        2014-03-30","
                                       良","54
                                       ",24,37,51,11,54,1.09,25
"
                                        2014-03-31","
                                       优","42
                                       ",15,29,40,7,54,1.01,37
"
                                        2014-04-01","
                                       良","57
                                       ",32,40,55,9,53,1.32,19
"
                                        2014-04-02","
                                       良","52
                                       ",23,35,47,10,58,1.28,25
"
                                        2014-04-03","
                                       优","49
                                       ",22,33,48,8,61,1.28,37
"
                                        2014-04-04","
                                       良","81
                                       ",94,59,81,14,61,1.02,56
"
                                        2014-04-06","
                                       良","87
                                       ",113,64,81,14,64,0.94,42
"
                                        2014-04-05","
                                       良","96
                                       ",136,69,96,24,69,0.93,85
"
                                        2014-04-07","
                                       良","76
                                       ",70,55,72,16,55,0.93,47
"
                                        2014-04-08","
                                       良","85
                                       ",61,62,86,16,67,1.01,30
"
                                        2014-04-09","
                                       轻度污染","106
                                       ",91,79,104,24,77,1.23,55
"
                                        2014-04-10","
                                       良","67
                                       ",40,48,71,20,58,0.82,50
"
                                        2014-04-11","
                                       良","62
                                       ",34,44,65,21,55,0.82,43
"
                                        2014-04-12","
                                       良","62
                                       ",50,44,69,22,57,0.80,33
"
                                        2014-04-13","
                                       良","76
                                       ",92,55,84,32,49,0.93,60
"
                                        2014-04-14","
                                       良","77
                                       ",65,56,80,19,57,1.02,35
"
                                        2014-04-15","
                                       良","58
                                       ",28,40,62,18,49,0.81,68
"
                                        2014-04-16","
                                       良","65
                                       ",63,46,67,19,51,0.80,46
"
                                        2014-04-17","
                                       良","64
                                       ",55,44,68,24,51,0.81,47
"
                                        2014-04-18","
                                       良","60
                                       ",47,40,61,21,47,0.74,40
"
                                        2014-04-19","
                                       良","55
                                       ",68,37,58,21,45,0.74,35
"
                                        2014-04-20","
                                       良","81
                                       ",123,59,89,28,56,1.03,20
"
                                        2014-04-21","
                                       良","53
                                       ",40,35,53,18,40,0.78,27
"
                                        2014-04-22","
                                       良","57
                                       ",45,39,60,18,46,0.99,19
"
                                        2014-04-23","
                                       良","58
                                       ",31,41,54,15,46,1.11,19
"
                                        2014-04-24","
                                       良","74
                                       ",66,54,76,16,55,0.89,33
"
                                        2014-04-25","
                                       良","65
                                       ",73,46,64,19,48,0.88,23
"
                                        2014-04-26","
                                       优","50
                                       ",56,33,48,14,51,0.93,25
"
                                        2014-04-27","
                                       良","52
                                       ",50,33,52,16,39,1.10,40
"
                                        2014-04-28","
                                       良","58
                                       ",40,37,56,17,33,1.11,75
"
                                        2014-04-29","
                                       良","79
                                       ",71,58,82,22,47,1.11,73
"
                                        2014-04-30","
                                       良","54
                                       ",9,38,48,8,38,0.98,34
"
                                        2014-05-01","
                                       优","42
                                       ",11,28,39,12,36,1.00,27
"
                                        2014-05-02","
                                       优","50
                                       ",20,34,51,14,43,1.14,33
"
                                        2014-05-03","
                                       良","78
                                       ",93,44,68,22,53,1.11,62
"
                                        2014-05-04","
                                       良","64
                                       ",74,44,64,16,45,0.96,53
"
                                        2014-05-05","
                                       优","32
                                       ",13,15,23,6,28,0.85,54
"
                                        2014-05-06","
                                       优","45
                                       ",19,31,40,9,39,0.96,26
"
                                        2014-05-07","
                                       优","50
                                       ",22,35,48,10,51,1.18,21
"
                                        2014-05-08","
                                       良","57
                                       ",37,40,57,15,53,1.30,20
"
                                        2014-05-09","
                                       优","39
                                       ",16,26,37,14,50,1.09,19
"
                                        2014-05-10","
                                       优","36
                                       ",18,23,34,13,39,0.79,34
"
                                        2014-05-11","
                                       优","35
                                       ",15,21,33,11,39,0.84,26
"
                                        2014-05-12","
                                       良","65
                                       ",73,46,63,14,46,1.14,29
"
                                        2014-05-13","
                                       良","75
                                       ",62,52,79,19,45,1.18,34
"
                                        2014-05-14","
                                       优","40
                                       ",19,23,39,13,31,0.76,41
"
                                        2014-05-15","
                                       良","52
                                       ",33,32,52,17,45,0.97,45
"
                                        2014-05-16","
                                       良","54
                                       ",27,35,55,18,46,1.00,19
"
                                        2014-05-17","
                                       优","34
                                       ",15,18,33,11,34,0.67,29
"
                                        2014-05-18","
                                       优","42
                                       ",16,26,41,16,50,0.87,20
"
                                        2014-05-19","
                                       优","45
                                       ",20,29,45,14,52,0.92,27
"
                                        2014-05-20","
                                       良","56
                                       ",37,39,55,18,63,1.06,21
"
                                        2014-05-21","
                                       优","45
                                       ",20,29,43,18,47,0.96,18
"
                                        2014-05-22","
                                       优","36
                                       ",17,18,33,12,41,0.80,25
"
                                        2014-05-23","
                                       优","45
                                       ",33,29,45,14,46,1.00,19
"
                                        2014-05-24","
                                       优","44
                                       ",33,28,43,16,38,0.94,17
"
                                        2014-05-25","
                                       优","38
                                       ",17,21,37,13,26,0.77,38
"
                                        2014-05-26","
                                       优","47
                                       ",25,31,49,16,33,0.83,41
"
                                        2014-05-27","
                                       良","88
                                       ",62,64,97,33,55,1.02,62
"
                                        2014-05-28","
                                       良","63
                                       ",45,41,66,21,42,0.87,56
"
                                        2014-05-29","
                                       良","55
                                       ",28,36,58,22,42,1.01,29
"
                                        2014-05-30","
                                       优","47
                                       ",21,29,46,19,32,0.91,39
"
                                        2014-05-31","
                                       优","46
                                       ",27,24,40,13,26,0.73,55
"
                                        2014-06-01","
                                       优","38
                                       ",22,19,33,12,23,0.65,54
"
                                        2014-06-02","
                                       优","35
                                       ",16,19,33,11,22,0.66,48
"
                                        2014-06-03","
                                       优","39
                                       ",16,23,39,14,43,0.84,35
"
                                        2014-06-04","
                                       良","71
                                       ",88,38,59,22,42,0.95,66
"
                                        2014-06-05","
                                       优","36
                                       ",15,18,32,11,27,0.76,46
"
                                        2014-06-06","
                                       优","37
                                       ",18,23,36,18,50,0.94,22
"
                                        2014-06-07","
                                       良","71
                                       ",102,51,72,23,70,1.22,34
"
                                        2014-06-08","
                                       良","79
                                       ",92,56,75,12,40,1.09,85
"
                                        2014-06-09","
                                       良","83
                                       ",134,42,57,14,37,1.00,109
"
                                        2014-06-10","
                                       良","56
                                       ",74,37,57,17,49,0.97,49
"
                                        2014-06-11","
                                       良","67
                                       ",81,47,61,13,52,1.06,30
"
                                        2014-06-12","
                                       良","71
                                       ",62,46,66,12,44,0.98,69
"
                                        2014-06-13","
                                       轻度污染","106
                                       ",118,70,105,19,71,1.15,78
"
                                        2014-06-14","
                                       良","99
                                       ",101,64,98,19,52,0.96,99
"
                                        2014-06-15","
                                       良","92
                                       ",84,64,95,20,46,0.99,81
"
                                        2014-06-16","
                                       轻度污染","109
                                       ",118,71,106,23,37,1.04,99
"
                                        2014-06-17","
                                       优","38
                                       ",19,20,36,13,32,0.75,42
"
                                        2014-06-18","
                                       优","48
                                       ",38,28,47,13,37,0.86,43
"
                                        2014-06-19","
                                       优","39
                                       ",25,20,37,12,31,0.76,32
"
                                        2014-06-20","
                                       优","37
                                       ",35,22,36,9,31,0.80,32
"
                                        2014-06-21","
                                       优","36
                                       ",25,21,34,8,34,0.85,34
"
                                        2014-06-22","
                                       优","38
                                       ",28,25,35,13,37,0.93,22
"
                                        2014-06-23","
                                       优","35
                                       ",24,21,34,14,34,0.89,28
"
                                        2014-06-24","
                                       优","36
                                       ",29,19,35,13,32,0.79,26
"
                                        2014-06-25","
                                       优","43
                                       ",38,25,43,13,38,0.84,21
"
                                        2014-06-26","
                                       优","49
                                       ",52,26,47,13,29,0.78,49
"
                                        2014-06-27","
                                       良","58
                                       ",87,25,44,13,29,0.74,65
"
                                        2014-06-28","
                                       良","64
                                       ",83,28,49,18,32,0.78,65
"
                                        2014-06-29","
                                       良","51
                                       ",48,24,44,16,30,0.73,55
"
                                        2014-06-30","
                                       优","32
                                       ",19,14,30,11,22,0.68,30
"
                                        2014-07-01","
                                       优","37
                                       ",23,19,36,19,30,0.66,25
"
                                        2014-07-02","
                                       优","40
                                       ",24,22,38,20,34,0.73,32
"
                                        2014-07-03","
                                       优","45
                                       ",31,24,43,11,29,0.73,53
"
                                        2014-07-04","
                                       优","49
                                       ",42,22,41,13,25,0.65,52
"
                                        2014-07-05","
                                       良","52
                                       ",65,21,44,11,24,0.65,59
"
                                        2014-07-06","
                                       良","54
                                       ",74,28,52,14,27,0.70,69
"
                                        2014-07-07","
                                       良","72
                                       ",100,51,79,17,55,0.91,69
"
                                        2014-07-08","
                                       轻度污染","101
                                       ",140,67,87,16,55,0.99,69
"
                                        2014-07-09","
                                       轻度污染","103
                                       ",172,55,75,14,50,0.93,117
"
                                        2014-07-10","
                                       良","61
                                       ",74,37,56,13,42,0.77,72
"
                                        2014-07-11","
                                       优","34
                                       ",18,22,33,10,33,0.74,28
"
                                        2014-07-12","
                                       优","44
                                       ",46,24,44,16,32,0.77,23
"
                                        2014-07-13","
                                       优","37
                                       ",29,20,36,12,26,0.66,30
"
                                        2014-07-14","
                                       优","39
                                       ",35,18,36,12,23,0.60,44
"
                                        2014-07-15","
                                       优","43
                                       ",47,20,37,11,26,0.68,63
"
                                        2014-07-16","
                                       优","38
                                       ",44,19,35,14,24,0.66,44
"
                                        2014-07-17","
                                       优","50
                                       ",52,28,50,14,33,0.70,47
"
                                        2014-07-18","
                                       优","29
                                       ",19,15,28,7,20,0.57,25
"
                                        2014-07-19","
                                       优","34
                                       ",28,15,33,10,22,0.56,29
"
                                        2014-07-20","
                                       优","45
                                       ",53,26,44,12,37,0.74,39
"
                                        2014-07-21","
                                       良","70
                                       ",127,48,78,28,54,1.04,37
"
                                        2014-07-22","
                                       轻度污染","111
                                       ",185,70,95,26,50,1.12,87
"
                                        2014-07-23","
                                       轻度污染","101
                                       ",173,67,99,30,42,0.93,86
"
                                        2014-07-24","
                                       良","98
                                       ",168,57,86,18,35,0.83,102
"
                                        2014-07-25","
                                       良","72
                                       ",131,40,55,12,36,0.74,88
"
                                        2014-07-26","
                                       优","41
                                       ",24,24,39,11,32,0.69,40
"
                                        2014-07-27","
                                       优","34
                                       ",15,17,31,11,22,0.65,38
"
                                        2014-07-28","
                                       良","54
                                       ",42,26,43,18,30,0.73,67
"
                                        2014-07-29","
                                       良","85
                                       ",101,40,66,23,42,0.77,91
"
                                        2014-07-30","
                                       轻度污染","101
                                       ",176,60,86,20,41,0.82,111
"
                                        2014-07-31","
                                       良","98
                                       ",162,56,85,24,39,0.83,99
"
                                        2014-08-01","
                                       良","87
                                       ",156,52,80,19,32,0.77,90
"
                                        2014-08-02","
                                       轻度污染","107
                                       ",166,52,76,21,36,0.81,132
"
                                        2014-08-03","
                                       轻度污染","113
                                       ",171,61,77,16,40,0.95,122
"
                                        2014-08-04","
                                       良","73
                                       ",97,47,64,14,38,0.88,79
"
                                        2014-08-05","
                                       良","63
                                       ",107,40,58,16,41,0.79,66
"
                                        2014-08-06","
                                       良","53
                                       ",74,34,51,10,39,0.80,51
"
                                        2014-08-07","
                                       良","56
                                       ",83,38,57,16,44,0.94,41
"
                                        2014-08-09","
                                       优","43
                                       ",49,23,41,15,29,0.72,55
"
                                        2014-08-10","
                                       优","45
                                       ",32,24,42,13,24,0.73,54
"
                                        2014-08-11","
                                       优","47
                                       ",44,27,45,15,27,0.77,53
"
                                        2014-08-12","
                                       优","44
                                       ",46,24,42,12,26,0.78,36
"
                                        2014-08-13","
                                       优","31
                                       ",16,19,29,8,30,0.79,18
"
                                        2014-08-14","
                                       优","40
                                       ",43,24,38,12,31,0.82,23
"
                                        2014-08-15","
                                       良","52
                                       ",49,28,45,11,29,0.79,58
"
                                        2014-08-16","
                                       优","50
                                       ",35,31,51,18,35,0.80,41
"
                                        2014-08-17","
                                       良","56
                                       ",78,34,57,22,34,0.76,53
"
                                        2014-08-18","
                                       良","51
                                       ",66,27,48,11,28,0.71,53
"
                                        2014-08-19","
                                       优","37
                                       ",41,22,35,9,27,0.80,25
"
                                        2014-08-20","
                                       优","28
                                       ",21,18,25,8,35,0.87,9
"
                                        2014-08-21","
                                       优","49
                                       ",30,31,45,18,36,0.90,32
"
                                        2014-08-23","
                                       良","57
                                       ",57,35,53,17,39,0.85,49
"
                                        2014-08-24","
                                       优","43
                                       ",36,22,36,15,27,0.64,54
"
                                        2014-08-25","
                                       良","60
                                       ",81,28,47,21,35,0.68,57
"
                                        2014-08-26","
                                       良","64
                                       ",80,27,46,22,37,0.68,48
"
                                        2014-08-27","
                                       优","41
                                       ",31,19,38,15,25,0.61,39
"
                                        2014-08-28","
                                       优","34
                                       ",20,15,33,14,22,0.57,28
"
                                        2014-08-29","
                                       良","53
                                       ",62,25,45,15,30,0.71,47
"
                                        2014-08-30","
                                       良","66
                                       ",120,34,56,21,40,0.74,71
"
                                        2014-08-31","
                                       优","45
                                       ",47,26,43,13,36,0.81,30
"
                                        2014-09-01","
                                       优","45
                                       ",52,24,43,16,31,0.83,37
"
                                        2014-09-02","
                                       良","70
                                       ",160,44,66,19,39,0.91,69
"
                                        2014-09-03","
                                       良","64
                                       ",162,32,55,17,30,0.75,65
"
                                        2014-09-04","
                                       优","49
                                       ",33,25,44,16,28,0.75,53
"
                                        2014-09-05","
                                       良","73
                                       ",83,52,76,19,60,1.04,35
"
                                        2014-09-06","
                                       良","69
                                       ",61,42,63,12,43,0.93,64
"
                                        2014-09-07","
                                       良","58
                                       ",58,38,58,14,37,0.82,52
"
                                        2014-09-08","
                                       优","29
                                       ",13,17,28,12,23,0.75,24
"
                                        2014-09-09","
                                       优","43
                                       ",39,27,40,11,32,0.88,41
"
                                        2014-09-10","
                                       良","64
                                       ",91,33,52,13,36,0.81,73
"
                                        2014-09-11","
                                       良","62
                                       ",106,34,56,19,41,0.82,58
"
                                        2014-09-12","
                                       优","38
                                       ",40,20,37,14,29,0.76,21
"
                                        2014-09-13","
                                       优","39
                                       ",52,23,38,13,30,0.83,24
"
                                        2014-09-14","
                                       优","42
                                       ",46,24,42,14,25,0.78,45
"
                                        2014-09-15","
                                       良","53
                                       ",118,35,52,10,26,0.83,45
"
                                        2014-09-16","
                                       优","24
                                       ",18,10,22,7,15,0.70,26
"
                                        2014-09-17","
                                       优","36
                                       ",49,18,35,13,21,0.75,27
"
                                        2014-09-18","
                                       良","64
                                       ",129,36,64,16,39,0.94,66
"
                                        2014-09-19","
                                       轻度污染","102
                                       ",174,70,104,31,56,1.15,47
"
                                        2014-09-20","
                                       优","39
                                       ",21,23,34,12,19,0.98,59
"
                                        2014-09-21","
                                       优","47
                                       ",40,30,48,13,31,0.83,72
"
                                        2014-09-22","
                                       良","55
                                       ",70,33,49,9,27,0.75,81
"
                                        2014-09-23","
                                       良","61
                                       ",104,38,60,10,30,0.70,82
"
                                        2014-09-24","
                                       良","67
                                       ",126,46,70,12,38,0.81,65
"
                                        2014-09-25","
                                       良","81
                                       ",106,54,87,18,48,0.94,76
"
                                        2014-09-26","
                                       良","99
                                       ",128,59,83,21,41,0.93,87
